x 	 sin(x) 	 cos(x) 
0 	 0.0 	 1.0 
0.1308996938995747 	 0.13052619222005157 	 0.9914448613738104 
0.2617993877991494 	 0.25881904510252074 	 0.9659258262890683 
0.39269908169872414 	 0.3826834323650898 	 0.9238795325112867 
0.5235987755982988 	 0.49999999999999994 	 0.8660254037844387 
0.6544984694978735 	 0.6087614290087205 	 0.7933533402912353 
0.7853981633974482 	 0.7071067811865475 	 0.7071067811865477 
0.9162978572970228 	 0.793353340291235 	 0.6087614290087208 
1.0471975511965976 	 0.8660254037844386 	 0.5000000000000001 
1.1780972450961724 	 0.9238795325112867 	 0.38268343236508984 
1.3089969389957472 	 0.9659258262890683 	 0.25881904510252074 
1.439896632895322 	 0.9914448613738104 	 0.1305261922200515 
1.5707963267948968 	 1.0 	 -1.6081226496766366e-16 
1.7016960206944716 	 0.9914448613738104 	 -0.13052619222005182 
1.8325957145940464 	 0.9659258262890682 	 -0.2588190451025211 
1.9634954084936211 	 0.9238795325112866 	 -0.3826834323650901 
2.0943951023931957 	 0.8660254037844386 	 -0.5000000000000002 
2.2252947962927703 	 0.7933533402912352 	 -0.6087614290087207 
2.356194490192345 	 0.7071067811865476 	 -0.7071067811865475 
2.4870941840919194 	 0.6087614290087209 	 -0.793353340291235 
2.617993877991494 	 0.5000000000000003 	 -0.8660254037844385 
2.7488935718910685 	 0.3826834323650903 	 -0.9238795325112865 
2.879793265790643 	 0.25881904510252146 	 -0.9659258262890681 
3.0106929596902177 	 0.13052619222005243 	 -0.9914448613738103 
3.1415926535897922 	 1.0106430996148606e-15 	 -1.0 
3.272492347489367 	 -0.13052619222005044 	 -0.9914448613738106 
3.4033920413889414 	 -0.25881904510251946 	 -0.9659258262890686 
3.534291735288516 	 -0.3826834323650884 	 -0.9238795325112873 
3.6651914291880905 	 -0.4999999999999986 	 -0.8660254037844395 
3.796091123087665 	 -0.6087614290087192 	 -0.7933533402912363 
3.9269908169872396 	 -0.7071067811865461 	 -0.7071067811865489 
4.057890510886814 	 -0.7933533402912339 	 -0.6087614290087223 
4.188790204786389 	 -0.8660254037844375 	 -0.5000000000000019 
4.319689898685963 	 -0.9238795325112859 	 -0.382683432365092 
4.450589592585538 	 -0.9659258262890676 	 -0.25881904510252324 
4.5814892864851124 	 -0.99144486137381 	 -0.13052619222005427 
4.712388980384687 	 -1.0 	 -2.848232278972479e-15 
4.843288674284262 	 -0.9914448613738108 	 0.1305261922200486 
4.974188368183836 	 -0.9659258262890691 	 0.25881904510251774 
5.105088062083411 	 -0.9238795325112881 	 0.38268343236508673 
5.235987755982985 	 -0.8660254037844404 	 0.499999999999997 
5.36688744988256 	 -0.7933533402912374 	 0.6087614290087178 
5.497787143782134 	 -0.7071067811865501 	 0.7071067811865448 
5.628686837681709 	 -0.6087614290087238 	 0.7933533402912328 
5.7595865315812835 	 -0.5000000000000036 	 0.8660254037844366 
5.890486225480858 	 -0.38268343236509367 	 0.9238795325112852 
6.021385919380433 	 -0.258819045102525 	 0.9659258262890672 
6.152285613280007 	 -0.1305261922200561 	 0.9914448613738098 
6.283185307179582 	 -4.6858214583300965e-15 	 1.0 
